location
"(42.88079929, -78.87760878)"
"(43.03602058, -78.82484771)"
"(42.82115264, -78.69692177)"
"(43.091842, -79.046266)"
"(42.9149, -78.708866)"
"(42.728191, -78.820407)"
"(43.093681, -79.058261)"
"(42.80074792, -78.74371827)"
"(43.057464, -78.890228)"
"(42.873022, -78.864055)"
"(42.82794158, -78.75343323)"
"(42.763709, -78.634667)"
"(43.21387335, -78.7756446)"
"(43.25289824, -79.04983074)"
"(43.231433, -78.933434)"
"(42.8992889, -78.86333036)"
"(42.88201, -78.747026)"
"(42.900521, -78.754292)"
"(42.74042317, -78.79366905)"
"(43.12565982, -79.04122621)"
"(43.27189941, -78.99677396)"
"(42.885555, -78.87206)"
"(43.04336072, -78.88866484)"
"(43.177647, -78.678871)"
"(42.90600686, -78.88739348)"
"(42.88258389, -78.85801792)"
"(42.971169, -78.851299)"
"(42.92020566, -78.8849473)"
"(43.00142823, -78.96504208)"
"(43.03214113, -78.64558697)"
"(43.05744944, -78.83333355)"
"(43.28164186, -78.96235049)"
"(42.89137051, -78.89043242)"
"(42.756116, -78.887003)"
"(42.90174737, -78.70184898)"
"(42.92218757, -78.88013929)"
"(42.850143, -78.696915)"
"(42.62532301, -78.75582576)"
"(43.15295284, -79.04431343)"
"(42.74107127, -78.62285256)"
"(43.1214175, -78.98689002)"
"(42.78474016, -78.7846756)"
"(42.991998, -78.800983)"
"(42.97045857, -78.87096226)"
"(43.132383, -79.041274)"
"(42.8980692, -78.87709379)"
"(43.09067878, -78.9630425)"
"(43.12554824, -79.0374738)"
"(42.93278304, -78.84605527)"
"(43.08646537, -78.98176432)"
"(43.23616574, -78.90955657)"
"(42.87585403, -78.84304047)"
"(43.02366, -78.863467)"
"(42.70884732, -78.52452278)"
"(43.11613523, -78.82436425)"
"(42.784567, -78.595676)"
"(42.640466, -79.06774)"
"(42.960237, -78.651799)"
"(42.99335572, -78.60736013)"
"(43.03602058, -78.82484771)"
"(42.90366497, -78.8705492)"
"(43.20427452, -79.03565258)"
"(43.139843, -78.614487)"
"(43.17820246, -78.69206831)"
"(42.5328, -78.98643)"
"(42.755145, -78.815966)"
"(43.034047, -78.701073)"
"(42.582901, -79.104803)"
"(43.00493841, -78.77254799)"
"(42.89766836, -78.80584359)"
"(43.08409116, -78.97607535)"
"(43.12335957, -79.00045395)"
"(42.88896714, -78.86812717)"
"(43.15914565, -78.68580669)"
"(42.96183141, -78.85835722)"
"(42.97765103, -78.85294318)"
"(43.09955322, -78.93398613)"
"(42.715394, -78.964555)"
"(42.88846798, -78.6428833)"
"(43.131094, -79.018466)"
"(42.88619, -78.87696)"
"(43.28886519, -78.87114109)"
"(42.935485, -78.90398)"
"(43.11324134, -78.97549868)"
"(43.038538, -78.743539)"
"(42.886247, -78.88572)"
"(43.082485, -79.052316)"
"(42.931466, -78.731989)"
"(43.045023, -78.860169)"
"(42.95399419, -78.77561241)"
"(43.1092315, -79.05819636)"
"(42.768155, -78.82405)"
"(43.02540212, -78.47603917)"
"(42.765544, -78.667452)"
"(42.89244541, -78.69109333)"
"(42.97322, -78.592372)"
"(42.83276478, -78.79192293)"
"(42.90222088, -78.87207806)"
"(42.900166, -78.900334)"
"(43.163203, -78.657228)"
"(42.940546, -78.875141)"
"(43.04911381, -78.70953687)"
"(42.93630067, -78.708704)"
"(42.931793, -78.900418)"
"(42.908066, -78.77429)"
"(42.951868, -78.908942)"
"(43.30959121, -78.82321626)"
"(42.76622954, -78.51783335)"
"(43.00825029, -78.92740399)"
"(43.08105471, -79.00005698)"
"(43.32820982, -78.74412596)"
"(43.08985806, -79.05800074)"
"(42.88076, -78.864326)"
"(42.88551617, -78.87737274)"
"(42.947533, -78.784075)"
"(43.01832066, -78.78797337)"
"(42.98087215, -78.86480391)"
"(42.507501, -78.691024)"
"(42.9979463, -78.93573761)"
"(43.05217341, -78.87147188)"
"(42.89244148, -78.64296913)"
"(42.969593, -78.677143)"
"(43.07259101, -78.94361928)"
"(42.911026, -78.845819)"
"(42.834538, -78.700582)"
"(43.16919565, -78.69534731)"
"(42.932001, -78.897078)"
"(42.873022, -78.864055)"
"(43.09259049, -79.02305692)"
"(42.62532301, -78.75582576)"
"(43.17225707, -78.67709354)"
"(42.90272094, -78.88595)"
"(43.18769881, -78.67413104)"
"(42.89989259, -78.78975034)"
"(42.97844136, -78.81388754)"
"(43.06491, -78.856934)"
"(42.60441573, -79.10599255)"
"(42.83199, -78.807034)"
"(42.908513, -78.741492)"
"(42.805011, -78.592536)"
"(42.897693, -78.607749)"
"(43.12183646, -79.04043496)"
"(42.78021244, -78.64459992)"
"(42.78300392, -78.76699448)"
"(43.1092315, -79.05819636)"
"(42.938829, -78.799838)"
"(42.89808492, -78.84460688)"
"(42.730795, -78.825558)"
"(43.01683073, -78.8322258)"
"(42.886365, -78.869648)"
"(43.05525246, -78.96675468)"
"(42.89204847, -78.8657105)"
"(42.5090665, -78.79057646)"
"(43.154871, -78.704553)"
"(43.019915, -78.751521)"
"(43.153931, -79.038398)"
"(42.8992889, -78.86333036)"
"(42.918658, -78.71598)"
"(43.02319111, -78.70794523)"
"(42.88826753, -78.80245328)"
"(42.88619, -78.87696)"
"(42.93986798, -78.64247561)"
"(43.3389889, -78.52570481)"
"(42.98052189, -78.81842852)"
"(42.740811, -78.911174)"
"(43.19678208, -78.56727183)"
"(43.01359874, -78.8628459)"
"(43.18715318, -78.70549679)"
"(43.08486691, -78.68248344)"
"(42.98610035, -78.87306511)"
"(43.10384797, -78.77300933)"
"(42.85041389, -78.78956795)"
"(42.922034, -78.848705)"
"(43.21887939, -78.74834776)"
"(43.0981196, -78.66715729)"
"(42.887553, -78.874966)"
"(43.20928721, -78.91535014)"
"(42.98610035, -78.87306511)"
"(42.81298172, -78.75202239)"
"(42.5747852, -78.64214569)"
"(42.88859768, -78.87320727)"
"(43.0535003, -78.8915053)"
"(43.07811214, -78.95979971)"
"(43.09259049, -79.02305692)"
"(42.589173, -79.07783)"
"(42.914596, -78.820918)"
"(42.87754442, -78.8008976)"
"(43.09861119, -79.03356582)"
"(42.90070475, -78.66176395)"
"(42.88019393, -78.70347977)"
"(42.902611, -78.891765)"
"(42.89989259, -78.78975034)"
"(43.20249534, -78.57595682)"
"(42.86886002, -78.7871486)"
"(42.8815147, -78.87055457)"
"(42.995922, -78.862524)"
"(42.92455029, -78.74184609)"
"(42.97318356, -78.76220137)"
"(43.107383, -79.048967)"
"(42.605388, -78.757304)"
"(42.75132173, -78.8534689)"
"(42.781228, -78.823814)"
"(43.05217341, -78.87147188)"
"(43.29025624, -78.93250823)"
"(42.80504347, -78.59710079)"
"(43.15200576, -78.71102482)"
"(42.88994972, -78.86638641)"
"(42.95868781, -78.86468321)"
"(42.71991892, -78.62304568)"
"(42.857597, -78.830699)"
"(43.03295282, -78.8740173)"
"(42.93530449, -78.85120511)"
"(42.90143694, -78.6847204)"
"(42.947768, -78.865072)"
"(42.93532806, -78.81364346)"
"(42.91669582, -78.8434185)"
"(43.010571, -78.855379)"
"(42.928162, -78.748673)"
"(42.76210317, -78.79296497)"
"(42.98865494, -78.82265568)"
"(43.34163408, -78.68608564)"
"(42.93601, -78.8985)"
"(42.864002, -78.496822)"
"(42.78364, -78.85007)"
"(42.85881, -78.83418)"
"(42.896843, -78.767212)"
"(42.908513, -78.741492)"
"(43.03295282, -78.8740173)"
"(42.878983, -78.876193)"
"(42.792561, -78.82007)"
"(43.08874547, -78.97439897)"
"(43.08275514, -79.04433489)"
"(43.172082, -78.699372)"
"(42.91971854, -78.87701869)"
"(43.15607378, -78.84100467)"
"(42.74538912, -78.80472779)"
"(42.93125912, -78.83486509)"
"(42.75428388, -78.62264872)"
"(42.882182, -78.881476)"
"(43.34163408, -78.68608564)"
"(42.921911, -78.843555)"
"(43.17257983, -79.03283358)"
"(42.910949, -78.843314)"
"(43.10039339, -79.02658403)"
"(42.707538, -78.907966)"
"(42.936632, -78.894603)"
"(42.8660331, -78.8676095)"
"(42.798132, -78.751631)"
"(42.80670475, -78.80909443)"
"(43.229463, -78.576109)"
"(42.911256, -78.867111)"
"(43.08574254, -79.02002603)"
"(42.696191, -78.95997)"
"(42.929443, -78.873925)"
"(42.911026, -78.845819)"
"(43.01240239, -78.81792963)"
"(42.908513, -78.741492)"
"(42.78229917, -78.83546591)"
"(42.9786479, -78.75142694)"
"(42.839566, -78.76133)"
"(43.12097896, -78.96604121)"
"(42.928162, -78.748673)"
"(43.12679524, -79.02981609)"
"(43.15295284, -79.04431343)"
"(42.95399419, -78.77561241)"
"(43.03029617, -78.76781926)"
"(42.81131514, -78.75657409)"
"(43.30839478, -78.82903665)"
"(42.75620409, -78.74651581)"
"(42.4877363, -78.6933142)"
"(42.90163734, -78.62285256)"
"(42.90913449, -78.89788628)"
"(42.89596673, -78.87974918)"
"(43.163874, -78.670489)"
"(42.950747, -78.724594)"
"(43.024303, -78.873316)"
"(43.07308672, -78.85809302)"
"(42.961597, -78.918596)"
"(43.096716, -79.050414)"
"(42.981442, -78.477863)"
"(42.988826, -78.631539)"
"(42.935117, -78.899994)"
"(42.88697834, -78.87960434)"
"(42.4660308, -78.93440723)"
"(43.13052531, -78.63997445)"
"(43.10227933, -79.05202746)"
"(42.910949, -78.843314)"
"(42.77395971, -78.76805663)"
"(43.08908042, -78.86603773)"
"(42.98606504, -78.58745813)"
"(42.947714, -78.763238)"
"(43.086552, -79.051826)"
"(43.019235, -78.86133045)"
"(42.90227393, -78.87860656)"
"(42.91122473, -78.86365056)"
"(42.99664371, -78.58739376)"
"(42.91837501, -78.86837125)"
"(43.088526, -79.063196)"
"(42.89153, -78.845851)"
"(43.09390965, -79.01990935)"
"(43.18074415, -78.67890135)"
"(43.07421919, -78.94495636)"
"(42.77507013, -78.62088919)"
"(42.8535935, -78.75976592)"
"(42.929295, -78.832977)"
"(43.22766487, -78.87501642)"
"(42.949685, -78.776929)"
"(42.91129545, -78.87951851)"
"(42.927659, -78.741848)"
"(43.19234523, -78.82349521)"
"(43.055423, -78.80399)"
"(42.9345033, -78.87768388)"
"(42.75805727, -78.68135691)"
"(42.78300392, -78.76699448)"
"(42.98396557, -78.95090818)"
"(42.974322, -78.51275)"
"(42.65255, -78.97644)"
"(42.867197, -78.838867)"
"(43.188699, -78.930121)"
"(43.129987, -79.0123415)"
"(42.74911775, -78.76107216)"
"(42.728191, -78.820407)"
"(42.80094275, -78.84651661)"
"(43.30528554, -78.86963725)"
"(43.00163027, -78.81360054)"
"(42.883889, -78.754334)"
"(42.699816, -79.007581)"
"(42.647275, -79.031683)"
"(42.9786479, -78.75142694)"
"(43.0941437, -78.9565891)"
"(43.1092315, -79.05819636)"
"(42.99105246, -78.8383922)"
"(43.149633, -79.039019)"
"(42.858499, -78.824779)"
"(42.70788156, -78.96562815)"
"(42.696191, -78.95997)"
"(42.88201, -78.747026)"
"(42.88050054, -78.68541509)"
"(43.02593547, -78.87968481)"
"(42.55191057, -78.63170385)"
"(42.90266688, -78.75446588)"
"(43.10818355, -78.98675591)"
"(42.88456, -78.87365)"
"(42.843754, -78.844373)"
"(42.663146, -79.058016)"
"(42.91538928, -78.86808157)"
"(42.95868781, -78.86468321)"
"(42.82970803, -78.78806055)"
"(42.920041, -78.894582)"
"(42.802221, -78.65958)"
"(43.02540212, -78.47603917)"
"(43.19701477, -78.57571274)"
"(42.90373471, -78.89778301)"
"(43.10787611, -79.0554446)"
"(42.88083, -78.87487)"
"(42.628158, -78.921955)"
"(42.912488, -78.754222)"
"(42.77395971, -78.76805663)"
"(42.96810048, -78.80932912)"
"(42.751755, -78.83277)"
"(42.82758, -78.82087)"
"(43.017868, -78.800702)"
"(42.88409328, -78.85394365)"
"(43.21302301, -78.4646076)"
"(43.08702169, -78.99993897)"
"(42.991342, -78.777892)"
"(42.872332, -78.851001)"
"(43.1092315, -79.05819636)"
"(42.780793, -78.592947)"
"(43.1751736, -78.9977771)"
"(43.01758183, -78.7524274)"
"(43.01423172, -78.76907453)"
"(42.88416404, -78.87722254)"
"(43.1706315, -78.84080619)"
"(42.93466039, -78.76714468)"
"(42.72982612, -78.74907732)"
"(42.8963, -78.885798)"
"(42.78177, -78.752022)"
"(43.167658, -78.699049)"
"(43.17218665, -78.69685605)"
"(43.10818355, -78.98675591)"
"(42.77177819, -78.8230741)"
"(42.98432072, -78.95758688)"
"(42.90143694, -78.6847204)"
"(43.05504863, -78.89854342)"
"(43.34163408, -78.68608564)"
"(42.640466, -79.06774)"
"(42.92250764, -78.82495165)"
"(42.69252, -78.812671)"
"(42.776357, -78.603492)"
"(43.200914, -78.558128)"
"(43.08889042, -79.0478003)"
"(42.638505, -79.04809)"
"(42.93777086, -78.88959289)"
"(43.00687338, -78.94546598)"
"(43.03531529, -78.88081402)"
"(42.869328, -78.837376)"
"(42.578567, -78.480768)"
"(42.99090385, -78.81827764)"
"(42.85794873, -78.52534354)"
"(42.87430512, -78.81836414)"
"(42.90885946, -78.87005568)"
"(42.87975759, -78.57781358)"
"(42.864791, -78.862696)"
"(42.8763415, -78.80571485)"
"(43.00139, -78.81789)"
"(43.148035, -78.719938)"
"(43.00429406, -78.92143607)"
"(42.72952664, -78.83246183)"
"(43.04864339, -78.98941934)"
"(43.20520514, -78.71302843)"
"(42.822466, -78.64028)"
"(42.8865617, -78.87647152)"
"(43.07914656, -78.96856785)"
"(42.937569, -78.817363)"
"(43.17801371, -78.6829783)"
"(43.10294322, -78.86668146)"
"(42.71758188, -78.90423783)"
"(42.97968203, -78.80340278)"
"(42.82123921, -78.77205849)"
"(42.899067, -78.870002)"
"(42.72670517, -78.77388775)"
"(43.26900313, -78.9983511)"
"(43.16460517, -78.69026855)"
"(42.73340398, -78.70603323)"
"(42.650349, -78.509983)"
"(43.10227933, -79.05202746)"
"(42.970111, -78.724686)"
"(42.996307, -78.794545)"
"(42.76631618, -78.78473729)"
"(42.82810498, -78.801693)"
"(43.18224037, -78.76796007)"
"(42.941317, -78.853886)"
"(43.027075, -78.874401)"
"(43.107038, -79.01832283)"
"(42.88448635, -78.79119873)"
"(42.750926, -78.740422)"
"(42.88409328, -78.75746727)"
"(42.94458624, -78.61173481)"
"(42.79714836, -78.8257134)"
"(43.13327158, -78.75495806)"
"(42.87905395, -78.86983037)"
"(42.83393512, -78.78914148)"
"(42.85910482, -78.81054282)"
"(42.74418362, -78.86479855)"
"(42.78781489, -78.79148841)"
"(42.97996853, -78.9642629)"
"(43.093681, -79.058261)"
"(43.15629488, -78.64858836)"
"(42.844334, -78.759113)"
"(42.886215, -78.843935)"
"(42.911499, -78.771236)"
"(42.99335572, -78.60736013)"
"(43.022482, -78.874535)"
"(42.78300392, -78.76699448)"
"(42.908513, -78.741492)"
"(42.854408, -78.81936)"
"(42.951066, -78.826001)"
"(42.913494, -78.859525)"
"(42.928817, -78.83256)"
"(42.944325, -78.89671)"
"(43.01159337, -78.78057517)"
"(42.88733, -78.85394)"
"(42.978112, -78.694409)"
"(43.34673885, -78.51460397)"
"(42.82971393, -78.7749204)"
"(42.99896638, -78.63728285)"
"(43.28164186, -78.96235049)"
"(42.94492591, -78.79068375)"
"(42.90584969, -78.8948071)"
"(43.09506817, -79.06049252)"
"(43.13532, -79.012148)"
"(42.887033, -78.754635)"
"(42.79315888, -78.75588477)"
"(43.10864372, -79.04946595)"
"(42.87299205, -78.8020134)"
"(42.88227335, -78.66621316)"
"(42.74205227, -78.74807417)"
"(42.98263325, -78.79600525)"
"(43.167514, -78.704519)"
"(42.763335, -78.863468)"
"(43.237481, -79.031396)"
"(43.17462395, -78.60974997)"
"(43.11138314, -78.88987452)"
"(42.892325, -78.700952)"
"(42.525377, -78.672516)"
"(42.87466, -78.79761)"
"(42.651635, -79.034685)"
"(43.09195979, -79.05032694)"
"(43.198371, -78.562053)"
"(43.01359874, -78.8628459)"
"(42.750926, -78.740422)"
"(43.16474016, -78.69837552)"
"(42.767617, -78.561438)"
"(43.035847, -78.872)"
"(43.09805106, -78.96699339)"
"(43.10384797, -78.77300933)"
"(43.00328191, -78.90521407)"
"(42.94704635, -78.79119873)"
"(43.09573801, -79.00769591)"
"(42.9786479, -78.75142694)"
"(42.853316, -78.826415)"
"(42.96130635, -78.76600742)"
"(42.915313, -78.860046)"
"(42.98007449, -78.81037653)"
"(42.9786479, -78.75142694)"
"(43.11861588, -78.77327889)"
"(42.929443, -78.873925)"
"(43.09353652, -79.05706734)"
"(43.04229041, -78.85907203)"
"(42.922178, -78.855717)"
"(42.980759, -78.829908)"
"(42.944503, -78.844083)"
"(43.13949672, -78.6968869)"
"(42.948777, -78.904657)"
"(42.88172353, -78.86983037)"
"(42.876732, -78.853685)"
"(43.12149679, -78.85397315)"
"(43.25789913, -79.00633872)"
"(43.10297651, -78.90934467)"
"(43.13288891, -78.71622562)"
"(42.930442, -78.7606)"
"(43.03104416, -78.54672208)"
"(43.085596, -78.990648)"
